;date;url;text;source;json;img
0;" ""2021-01-22 20:40:08""";https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-estados-unidos-recomendar-hidroxicloroquina/;" ""Hidroxicloroquina!  Após o presidente Bolsonaro negar apoio ao uso da Vacina Chinesa Coronavac, e ser acusado pelo Governador de São Paulo João Doria por negacionista em defesa do uso de cloroquina.  Hoje 22/01, o Estados Unidos tbem aderiu em Sistema de Saúde a indicação de Hidroxicloroquina a população Americana!""";" ""Post no Facebook""";"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-01-22 20:40:08"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-estados-unidos-recomendar-hidroxicloroquina/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""Hidroxicloroquina!  Após o presidente Bolsonaro negar apoio ao uso da Vacina Chinesa Coronavac, e ser acusado pelo Governador de São Paulo João Doria por negacionista em defesa do uso de cloroquina.  Hoje 22/01, o Estados Unidos tbem aderiu em Sistema de Saúde a indicação de Hidroxicloroquina a população Americana!"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Facebook"",
                                                ""sameAs"": ""https://www.facebook.com/NeilsonRibeiroo/photos/a.100656458217642/230359225247364/?type=3&theater""
                                            },
                                            ""datePublished"": ""2021-01-22 20:40:08""
                                        }
                                    }
                                    ";https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/Hidroxicloroquina-nos-EUA-22.01.png
1;" ""2021-01-22 11:08:18""";https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-ivermectina-liverpool/;" ""Cientistas britânicos afirmam que ivermectina reduz mortes por Covid em até 75%""";" ""Brasil Sem Medo (jornal)""";"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-01-22 11:08:18"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-ivermectina-liverpool/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""Cientistas britânicos afirmam que ivermectina reduz mortes por Covid em até 75%"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Exagerado"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Brasil Sem Medo (jornal)"",
                                                ""sameAs"": ""https://l.facebook.com/l.php?u=https%3A%2F%2Fbrasilsemmedo.com%2Fcientistas-britanicos-afirmam-que-ivermectina-reduz-mortes-por-covid-em-ate-75%2F%3Ffbclid%3DIwAR2lDSbW0UVhO4fiBnMMUXMuJWwdvsjDuXgB2822Rd6mVFh_zsw5zAA_xZg&h=AT1tgPsze5xWydPjddI1x1xZnI--UF4DIwES0dYrgZHchWX2kMv1gP_7Wxlwh4BsLwapQhA7AD3Cg5f7wAEoODYypwhCpXbVW_avZi5DM9qiGV6lE0i8U1vJ0hGdFEMRyEm0IEKVCi4sfhH1SWuK_sf56h5sGDfPbg""
                                            },
                                            ""datePublished"": ""2021-01-22 11:08:18""
                                        }
                                    }
                                    ";https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/Ivermectina-21.01.png
2;" ""2021-01-19 14:58:09""";https://piaui.folha.uol.com.br/lupa/2021/01/19/verificamos-audio-whatsapp-vacina-hiv-cachorros-pcr/;" ""Na Inglaterra, fizeram estudos com animais, cachorros, uns meses atrás. E vacinaram 20 cachorros. Os outros 20 não vacinaram. Os 20 que não vacinaram passaram bem, continuaram, não morreram. E todos os 20 que vacinaram morreram. É a mesma vacina que eles estão usando, é a mesma.""";" ""Áudio no WhatsApp""";"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-01-19 14:58:09"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/01/19/verificamos-audio-whatsapp-vacina-hiv-cachorros-pcr/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""Na Inglaterra, fizeram estudos com animais, cachorros, uns meses atrás. E vacinaram 20 cachorros. Os outros 20 não vacinaram. Os 20 que não vacinaram passaram bem, continuaram, não morreram. E todos os 20 que vacinaram morreram. É a mesma vacina que eles estão usando, é a mesma."",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Áudio no WhatsApp"",
                                                ""sameAs"": """"
                                            },
                                            ""datePublished"": ""2021-01-19 14:58:09""
                                        }
                                    }
                                    ";https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/Áudio-WhatsAoo-Vacinas-18.1.21.png
3;" ""2021-01-18 10:06:07""";https://piaui.folha.uol.com.br/lupa/2021/01/18/verificamos-monica-calazans-placebo/;" ""Por quê (sic) Mônica Calazans tomou a ‘primeira vacina’ se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental do Butantan?""";" ""Post no Facebook""";"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-01-18 10:06:07"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/01/18/verificamos-monica-calazans-placebo/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""Por quê (sic) Mônica Calazans tomou a ‘primeira vacina’ se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental do Butantan?"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Facebook"",
                                                ""sameAs"": ""https://www.facebook.com/photo.php?fbid=171374174769073&set=a.102499284989896&type=3&eid=ARAOjCghxKJ1lPSjQm5ZnGGt26NX82jg4rmGCTHXklNuPMYCw-K80HZ2WxTqgoj_mVWVkka211nqfK09""
                                            },
                                            ""datePublished"": ""2021-01-18 10:06:07""
                                        }
                                    }
                                    ";https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/printcalazansfaje.png
4;" ""2021-01-15 19:42:24""";https://piaui.folha.uol.com.br/lupa/2021/01/15/verificamos-detran-recolher-veiculos-manaus/;" """"Confirmado pelo Departamento Estadual de Trânsito do Amazonas, nenhum veículo poderá circular nas ruas de Manaus a partir de hoje dia 14.01.2021 iniciando ás 19:00 horas até ás 05:00 Veículo que for pego circulando nas ruas serão recolhidos para o parqueamento do DETRAN.”""";" ""Mensagem no WhatsApp""";"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-01-15 19:42:24"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/01/15/verificamos-detran-recolher-veiculos-manaus/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": """"Confirmado pelo Departamento Estadual de Trânsito do Amazonas, nenhum veículo poderá circular nas ruas de Manaus a partir de hoje dia 14.01.2021 iniciando ás 19:00 horas até ás 05:00 Veículo que for pego circulando nas ruas serão recolhidos para o parqueamento do DETRAN.”"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Mensagem no WhatsApp"",
                                                ""sameAs"": """"
                                            },
                                            ""datePublished"": ""2021-01-15 19:42:24""
                                        }
                                    }
                                    ";https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/detran-AM-Manaus.jpg
5;" ""2021-01-15 18:49:30""";https://piaui.folha.uol.com.br/lupa/2021/01/15/verificamos-white-martins-oxigenio-amazonas/;" ""“(...) O governo do estado do Amazonas deve à White Martins R$52 milhões. A White Martins, por sua vez, com essa demanda de oxigênio, falou para o governo do estado que iria liberar uma parte do oxigênio e que o governo teria que pagar a propaganda (...). Porque dinheiro em caixa tem, então por que não paga? Pague e eu libero""";" ""Áudio no WhatsApp""";"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-01-15 18:49:30"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/01/15/verificamos-white-martins-oxigenio-amazonas/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""“(...) O governo do estado do Amazonas deve à White Martins R$52 milhões. A White Martins, por sua vez, com essa demanda de oxigênio, falou para o governo do estado que iria liberar uma parte do oxigênio e que o governo teria que pagar a propaganda (...). Porque dinheiro em caixa tem, então por que não paga? Pague e eu libero"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Áudio no WhatsApp"",
                                                ""sameAs"": """"
                                            },
                                            ""datePublished"": ""2021-01-15 18:49:30""
                                        }
                                    }
                                    ";https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/áudio-governador-Manaus.png
6;" ""2021-01-11 20:04:04""";https://piaui.folha.uol.com.br/lupa/2021/01/11/verificamos-mortes-aids-covid-19-2020/;" ""“Mortes em todo o mundo entre 01/01/2020 e 31/12/2020  Abortos .... 42.652.318 HIV / AIDS 42.371.649 Câncer .... 8.226.779 Malária .... 395.006 Fumo .... 5.007.485 Álcool .... 2.505.326 Suicídios .... 1.074.164 Tráfegos .... 1.352.186 Coronavírus .... 1.810.360 Fontes: Worldmeters e Google  Nem sempre as mortes serão causadas por um vírus, tem coisas piores matando a população.”""";" ""Post no Facebook""";"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-01-11 20:04:04"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/01/11/verificamos-mortes-aids-covid-19-2020/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""“Mortes em todo o mundo entre 01/01/2020 e 31/12/2020  Abortos .... 42.652.318 HIV / AIDS 42.371.649 Câncer .... 8.226.779 Malária .... 395.006 Fumo .... 5.007.485 Álcool .... 2.505.326 Suicídios .... 1.074.164 Tráfegos .... 1.352.186 Coronavírus .... 1.810.360 Fontes: Worldmeters e Google  Nem sempre as mortes serão causadas por um vírus, tem coisas piores matando a população.”"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Facebook"",
                                                ""sameAs"": ""https://www.facebook.com/photo.php?fbid=1918718138266445&set=a.766235733514697&type=3&theater""
                                            },
                                            ""datePublished"": ""2021-01-11 20:04:04""
                                        }
                                    }
                                    ";https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/Mortes-2020.png
7;" ""2021-01-05 12:55:48""";https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-renata-vasconcellos-mascara/;" ""Ninguém de máscaras!""";" ""Post no Facebook""";"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-01-05 12:55:48"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-renata-vasconcellos-mascara/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""Ninguém de máscaras!"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Facebook"",
                                                ""sameAs"": ""https://www.facebook.com/virginia.lealdemello/posts/741819883421314""
                                            },
                                            ""datePublished"": ""2021-01-05 12:55:48""
                                        }
                                    }
                                    ";https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/printrenatavinterna.png
8;" ""2021-01-04 18:34:50""";https://piaui.folha.uol.com.br/lupa/2021/01/04/verificamos-cristina-kirchner-vacina/;" ""A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, também sem máscara, nem a enfermeira nem ela. O Natal é mágico !!""";" ""Post no Facebook""";"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-01-04 18:34:50"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/01/04/verificamos-cristina-kirchner-vacina/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, também sem máscara, nem a enfermeira nem ela. O Natal é mágico !!"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Facebook"",
                                                ""sameAs"": ""https://www.facebook.com/canalmisteriosdomundo/photos/a.900770296738291/1845493962265915/?type=3&theater&_rdc=1&_rdr""
                                            },
                                            ""datePublished"": ""2021-01-04 18:34:50""
                                        }
                                    }
                                    ";https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/cristinavacinafake.jpg
9;" ""2020-12-21 17:05:20""";https://piaui.folha.uol.com.br/lupa/2020/12/21/verificamos-associacao-medica-americana-ama-hidroxicloroquina-covid-19/;" ""Associação Médica Americana retira as restrições contra Hidroxicloroquina""";" ""Publicação no Facebook""";"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2020-12-21 17:05:20"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2020/12/21/verificamos-associacao-medica-americana-ama-hidroxicloroquina-covid-19/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""Associação Médica Americana retira as restrições contra Hidroxicloroquina"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Publicação no Facebook"",
                                                ""sameAs"": ""https://www.facebook.com/DiarioDeHospital/posts/3533779899991825""
                                            },
                                            ""datePublished"": ""2020-12-21 17:05:20""
                                        }
                                    }
                                    ";https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2020/12/AMA-hidroxicloroquina-covid-19-resolucao.png
